PeriodID,NodeName,CutPattern,CutPatternType,CutPatternOutput,CutPatternOutputQty,DowngradeOutputQty,FgProduct,FgType,FgInput,FgInputQty
1,A01,23101500-ABF-34,001-C09,20001102-ABF-34,2053,3616,10092228,1,20001102-NFA-1234,3043
1,A01,23101500-ABF-34,001-C09,20001102-ABF-34,2053,2543,10092125,1,20001102-NFA-234,1400
1,A01,23102647-NFA-12,001-C08,20001102-NFA-12,2580.006,2580.006,10092228,1,20001102-NFA-1234,3043
1,A01,23102653-NFA-23,001-C08,20001102-NFA-23,864,864,10092228,1,20001102-NFA-1234,3043
1,A01,23102653-NFA-23,001-C08,20001102-NFA-23,864,864,10092125,1,20001102-NFA-234,1400
1,A01,23102653-NFA-3,001-C08,20001102-NFA-3,500,500,10092228,1,20001102-NFA-1234,3043
1,A01,23102653-NFA-3,001-C08,20001102-NFA-3,500,500,10092104,1,20001102-NFA-23,864
1,A01,23102653-NFA-3,001-C08,20001102-NFA-3,500,910,10092125,1,20001102-NFA-234,1400
1,A01,23102645-NFA-34,001-C08,20001102-NFA-34,500,500,10092228,1,20001102-NFA-1234,3043
1,A01,23102645-NFA-34,001-C08,20001102-NFA-34,500,1000,10092125,1,20001102-NFA-234,1400
1,A01,23102683-ABF-34,001-C08,20001104-ABF-34,500,820,10095040,1,20001104-FA-34,320
1,A01,23102679-FA-3,001-C08,20001104-FA-3,810,810,10095040,1,20001104-FA-34,320
1,A01,23101617-ABF-34,001-C09,20001106-ABF-34,1502.997,2627.997,10014113,1,20001106-FA-1234,1125
1,A01,23102761-ABF-34,001-C08,20001106-ABF-34,1500.003,2625.003,10014113,1,20001106-FA-1234,1125
1,A01,23102761-ABF-34,001-C08,20001106-ABF-34,1500.003,1500.003,10092818,1,20001106-NFA-234,5734
1,A01,23101617-ABF-34,001-C09,20001106-ABF-34,1502.997,1502.997,10092818,1,20001106-NFA-234,5734
1,A01,23101617-ABF-4,001-C08,20001106-ABF-4,1486.002,1486.002,10044756,1,20001106-ABF-34,1878
